"id","team_id","customer_id","batch_flag","is_deleted","remark","created_at","updated_at","deleted_at"
"384667909940576257","178","384376851876806657","0","0",,"2019-09-28 11:32:56","2020-05-07 15:16:45",
"384684543153537025","179","384352447490949121","0","0",,"2019-09-28 12:39:02","2020-05-07 15:16:46",
"384685387185913856","180","384352447490949121","0","0",,"2019-09-28 12:42:23","2020-05-07 15:35:22",
"384743739492401152","181","384352447490949121","0","0",,"2019-09-28 16:34:15","2020-05-07 15:16:45",
"385018108353445889","182","385001478672089088","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385018108399583232","182","385001137863917569","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385018108420554753","182","384667712103645185","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385018108445720576","182","384467769158008833","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385018108466692097","182","384376851876806657","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385018108487663616","182","384374390675996673","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385018108512829441","182","384374388448821248","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385018108533800960","182","384374388855668737","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385018108554772481","182","384374386716573697","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385018108579938304","182","384374386775293953","0","0",,"2019-09-29 10:44:30","2020-05-07 15:16:46",
"385100806199705600","183","384352447490949121","0","0",,"2019-09-29 16:13:07","2020-05-07 15:35:21",
"385120224132726784","184","383933091455959041","0","0",,"2019-09-29 17:30:16","2020-05-07 15:35:22",
"385381661296033793","187","385103318952706048","0","0",,"2019-09-30 10:49:08","2020-05-07 15:35:21",
"385382031481110528","186","385184650353442816","0","0",,"2019-09-30 10:50:36","2020-05-07 15:16:46",
"385382031506276353","186","385166807561928704","0","0",,"2019-09-30 10:50:36","2020-05-07 15:16:46",
